fighter_name,fighter_url
Sam Patterson,http://ufcstats.com/fighter-details/8b6e5dc2ba1edbe7
Trey Waters,http://ufcstats.com/fighter-details/31dbfbe4e7a6727c
Brad Tavares,http://ufcstats.com/fighter-details/0c6d9ea8306c029e
Robert Bryczek,http://ufcstats.com/fighter-details/f96856f9d69fd7e4
Andreas Gustafsson,http://ufcstats.com/fighter-details/2caf993f53541fa1
Rinat Fakhretdinov,http://ufcstats.com/fighter-details/8f765fd5775a8873
Shauna Bannon,http://ufcstats.com/fighter-details/9c442aaf149ea982
Sam Hughes,http://ufcstats.com/fighter-details/e94085e821bd81de
Johnny Walker,http://ufcstats.com/fighter-details/c21f26bbde777573
Zhang Mingyang,http://ufcstats.com/fighter-details/8a65fd9ba31fd3f7
Brian Ortega,http://ufcstats.com/fighter-details/def8166ff24bd237
Aljamain Sterling,http://ufcstats.com/fighter-details/cb696ebfb6598724
Sergei Pavlovich,http://ufcstats.com/fighter-details/f14cf73e51b29254
Sumudaerji,http://ufcstats.com/fighter-details/3cf18e01cb6cbde3
Kevin Borjas,http://ufcstats.com/fighter-details/34b96d52db1d26e6
Taiyilake Nueraji,http://ufcstats.com/fighter-details/7498b3ac79a3b948
Kiefer Crosbie,http://ufcstats.com/fighter-details/4729c93ba705a3bf
Maheshate,http://ufcstats.com/fighter-details/8c1ca54b5089d199
Gauge Young,http://ufcstats.com/fighter-details/b2a78df161bd67f9
Charles Johnson,http://ufcstats.com/fighter-details/814e5233e2acf2ee
Lone'er Kavanagh,http://ufcstats.com/fighter-details/bb2c3c3a466224af
Rongzhu,http://ufcstats.com/fighter-details/a13d755965a4ec9f
Austin Hubbard,http://ufcstats.com/fighter-details/d2cd7a69cc55e7ed
Michel Pereira,http://ufcstats.com/fighter-details/595db60957de51d3
Yizha,http://ufcstats.com/fighter-details/3f11fd1751fa83b1
Westin Wilson,http://ufcstats.com/fighter-details/7b3503352cd53abb
Xiao Long,http://ufcstats.com/fighter-details/86bace9e4ad85542
SuYoung You,http://ufcstats.com/fighter-details/a474aade8eb3a8f0
Uran Satybaldiev,http://ufcstats.com/fighter-details/02f484417a6fa69d
Diyar Nurgozhay,http://ufcstats.com/fighter-details/709fadb644ee3f51
Dricus Du Plessis,http://ufcstats.com/fighter-details/0d7b51c9d2649a6e
Khamzat Chimaev,http://ufcstats.com/fighter-details/767755fd74662dbf
Lerone Murphy,http://ufcstats.com/fighter-details/396fe87b84ac2e1c
Aaron Pico,http://ufcstats.com/fighter-details/5537efc6e496dd84
Geoff Neal,http://ufcstats.com/fighter-details/b997be68943010fc
Jared Cannonier,http://ufcstats.com/fighter-details/13a0275fa13c4d26
Michael Page,http://ufcstats.com/fighter-details/a67d071163962af8
Tim Elliott,http://ufcstats.com/fighter-details/c96d9178c9ed9e62
Kai Asakura,http://ufcstats.com/fighter-details/d33da8a3d82bdb62
Eric Nolan,http://ufcstats.com/fighter-details/64b12fe31be7560c
Michal Oleksiejczuk,http://ufcstats.com/fighter-details/0d65c432720accb9
Jessica Andrade,http://ufcstats.com/fighter-details/6a1901c62ab3870f
